"Timestamp";"Loss";"Acc"
"1663328281811";"0.1559617 ; 0.98490053"
"1663328284321";"0.13367032 ; 0.9884427"
"1663328286770";"0.111962646 ; 0.9882558"
"1663328289073";"0.07953566 ; 0.98452777"
"1663328291633";"0.075499505 ; 0.98471373"
"1663328294146";"0.07088668 ; 0.98471373"
"1663328296831";"0.06846313 ; 0.98452777"
"1663328299254";"0.06744416 ; 0.98452777"
"1663328301751";"0.069928646 ; 0.985087"
"1663328303981";"0.074397065 ; 0.98601913"
"1663328306228";"0.075752445 ; 0.9862056"
"1663328308710";"0.074874245 ; 0.9862056"
"1663328311090";"0.07297103 ; 0.98601913"
"1663328313598";"0.072379015 ; 0.9862056"
"1663328315923";"0.07350771 ; 0.986392"
"1663328318267";"0.0721004 ; 0.986392"
"1663328320730";"0.07108804 ; 0.98657846"
"1663328323007";"0.073100425 ; 0.98695135"
"1663328325271";"0.07210623 ; 0.98695135"
"1663328327571";"0.07069825 ; 0.98695135"
"1663328329782";"0.07090237 ; 0.98713773"
"1663328332157";"0.07113932 ; 0.98713773"
"1663328334432";"0.06963059 ; 0.9871373"
"1663328336688";"0.06842081 ; 0.9871373"
"1663328339163";"0.066975266 ; 0.9873242"
"1663328341590";"0.0657313 ; 0.9873242"
"1663328343844";"0.064825706 ; 0.98732376"
"1663328346264";"0.06515824 ; 0.98732376"
"1663328348593";"0.06357443 ; 0.98732376"
"1663328351015";"0.062042013 ; 0.98732376"
