"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328944605";"00:00:00.008";"19236624";"2545.0";"45";"69";"84";"AUTOMATIC"
"1663328945606";"00:00:01.009";"26866072";"2552.0";"45";"48";"84";"AUTOMATIC"
"1663328946606";"00:00:02.009";"18979728";"2545.0";"45";"48";"84";"AUTOMATIC"
"1663328947609";"00:00:03.012";"26814208";"2551.0";"45";"48";"84";"AUTOMATIC"
"1663328948607";"00:00:04.010";"18648616";"2544.0";"45";"48";"84";"AUTOMATIC"
"1663328949608";"00:00:05.011";"25235864";"2545.0";"45";"94";"84";"AUTOMATIC"
"1663328950609";"00:00:06.012";"16782480";"2545.0";"45";"48";"84";"AUTOMATIC"
"1663328951610";"00:00:07.013";"25963040";"2544.0";"45";"48";"84";"AUTOMATIC"
"1663328952611";"00:00:08.014";"30393200";"2547.0";"45";"48";"84";"AUTOMATIC"
"1663328953612";"00:00:09.015";"22043360";"2540.0";"45";"48";"84";"AUTOMATIC"
"1663328954614";"00:00:10.017";"30177840";"2548.0";"45";"69";"84";"AUTOMATIC"
"1663328955614";"00:00:11.017";"21405240";"2540.0";"45";"48";"84";"AUTOMATIC"
"1663328956615";"00:00:12.018";"30546120";"2549.0";"45";"48";"84";"AUTOMATIC"
"1663328957615";"00:00:13.018";"10510288";"2530.0";"44";"48";"84";"AUTOMATIC"
"1663328958616";"00:00:14.019";"6828648";"2527.0";"44";"48";"84";"AUTOMATIC"
"1663328959617";"00:00:15.020";"8299128";"2528.0";"44";"48";"84";"AUTOMATIC"
"1663328960618";"00:00:16.021";"10679848";"2530.0";"44";"48";"84";"AUTOMATIC"
"1663328961619";"00:00:17.022";"6549288";"2532.0";"44";"46";"84";"AUTOMATIC"
"1663328962620";"00:00:18.023";"8067680";"2527.0";"44";"48";"84";"AUTOMATIC"
"1663328963621";"00:00:19.024";"10938512";"2529.0";"44";"48";"84";"AUTOMATIC"
"1663328964622";"00:00:20.025";"12717952";"2532.0";"44";"48";"84";"AUTOMATIC"
"1663328965623";"00:00:21.026";"9185536";"2528.0";"44";"48";"84";"AUTOMATIC"
"1663328966623";"00:00:22.026";"11736496";"2531.0";"44";"48";"84";"AUTOMATIC"
"1663328967624";"00:00:23.027";"7730216";"2527.0";"44";"100";"84";"AUTOMATIC"
"1663328968627";"00:00:24.030";"8704880";"2530.0";"44";"17";"84";"AUTOMATIC"
"1663328969628";"00:00:25.031";"10142240";"2531.0";"44";"48";"84";"AUTOMATIC"
"1663328970629";"00:00:26.032";"6511632";"2527.0";"44";"48";"84";"AUTOMATIC"
"1663328971629";"00:00:27.032";"6676792";"2527.0";"44";"48";"84";"AUTOMATIC"
"1663328972630";"00:00:28.033";"9055984";"2530.0";"44";"48";"84";"AUTOMATIC"
"1663328973634";"00:00:29.037";"10394944";"2531.0";"44";"17";"84";"AUTOMATIC"
"1663328974634";"00:00:30.037";"8641984";"2529.0";"44";"48";"84";"AUTOMATIC"
"1663328975635";"00:00:31.038";"11058224";"2531.0";"44";"48";"84";"AUTOMATIC"
"1663328976635";"00:00:32.038";"6873488";"2528.0";"44";"48";"84";"AUTOMATIC"
"1663328977636";"00:00:33.039";"9338376";"2530.0";"44";"48";"84";"AUTOMATIC"
"1663328978637";"00:00:34.040";"12066920";"2533.0";"44";"48";"84";"AUTOMATIC"
"1663328979638";"00:00:35.041";"11251832";"2532.0";"44";"48";"84";"AUTOMATIC"
"1663328980639";"00:00:36.042";"7356992";"2529.0";"44";"48";"84";"AUTOMATIC"
"1663328981640";"00:00:37.043";"9145792";"2530.0";"44";"48";"84";"AUTOMATIC"
"1663328982641";"00:00:38.044";"11637560";"2533.0";"44";"48";"84";"AUTOMATIC"
"1663328983642";"00:00:39.045";"7356032";"2513.0";"44";"39";"84";"AUTOMATIC"
"1663328984643";"00:00:40.046";"7922312";"2515.0";"44";"48";"84";"AUTOMATIC"
"1663328985644";"00:00:41.047";"10588416";"2517.0";"44";"48";"84";"AUTOMATIC"
"1663328986647";"00:00:42.050";"6689344";"2514.0";"44";"100";"84";"AUTOMATIC"
"1663328987646";"00:00:43.049";"9060584";"2517.0";"44";"48";"84";"AUTOMATIC"
"1663328988646";"00:00:44.049";"11191880";"2519.0";"44";"48";"84";"AUTOMATIC"
"1663328989647";"00:00:45.050";"7105824";"2515.0";"44";"48";"84";"AUTOMATIC"
"1663328990650";"00:00:46.053";"9662176";"2518.0";"44";"31";"84";"AUTOMATIC"
"1663328991649";"00:00:47.052";"9776304";"2518.0";"44";"48";"84";"AUTOMATIC"
"1663328992650";"00:00:48.053";"12353728";"2520.0";"44";"48";"84";"AUTOMATIC"
"1663328993652";"00:00:49.055";"12561792";"2520.0";"44";"48";"84";"AUTOMATIC"
"1663328994652";"00:00:50.055";"8223136";"2528.0";"44";"48";"84";"AUTOMATIC"
"1663328995653";"00:00:51.056";"10979024";"2529.0";"44";"48";"84";"AUTOMATIC"
"1663328996654";"00:00:52.057";"10213128";"2525.0";"44";"48";"84";"AUTOMATIC"
"1663328997655";"00:00:53.058";"11725824";"2522.0";"44";"48";"84";"AUTOMATIC"
"1663328998655";"00:00:54.058";"6597448";"2523.0";"44";"82";"84";"AUTOMATIC"
"1663328999656";"00:00:55.059";"7798432";"2543.0";"45";"100";"84";"AUTOMATIC"
"1663329000657";"00:00:56.060";"8646296";"2522.0";"44";"48";"84";"AUTOMATIC"
"1663329001657";"00:00:57.060";"10796280";"2519.0";"44";"48";"84";"AUTOMATIC"
"1663329002659";"00:00:58.062";"13098032";"2524.0";"44";"48";"84";"AUTOMATIC"
"1663329003659";"00:00:59.062";"8052744";"2519.0";"44";"48";"84";"AUTOMATIC"
"1663329004661";"00:01:00.064";"10458424";"2521.0";"44";"48";"84";"AUTOMATIC"
"1663329005662";"00:01:01.065";"6743120";"2518.0";"44";"48";"84";"AUTOMATIC"
"1663329006662";"00:01:02.065";"10569016";"2521.0";"44";"48";"84";"AUTOMATIC"
"1663329007664";"00:01:03.067";"12886464";"2525.0";"44";"48";"84";"AUTOMATIC"
"1663329008667";"00:01:04.070";"8032592";"2520.0";"44";"17";"84";"AUTOMATIC"
"1663329009666";"00:01:05.069";"8057024";"2521.0";"44";"48";"84";"AUTOMATIC"
"1663329010667";"00:01:06.070";"9120288";"2514.0";"44";"48";"84";"AUTOMATIC"
"1663329011668";"00:01:07.071";"10946624";"2516.0";"44";"48";"84";"AUTOMATIC"
"1663329012669";"00:01:08.072";"6906088";"2513.0";"44";"48";"84";"AUTOMATIC"
"1663329013670";"00:01:09.073";"9561240";"2516.0";"44";"39";"84";"AUTOMATIC"
"1663329014671";"00:01:10.074";"7843360";"2513.0";"44";"60";"84";"AUTOMATIC"
"1663329015672";"00:01:11.075";"10228584";"2515.0";"44";"48";"84";"AUTOMATIC"
"1663329016673";"00:01:12.076";"11249912";"2516.0";"44";"37";"84";"AUTOMATIC"
"1663329017673";"00:01:13.076";"6616808";"2512.0";"44";"48";"84";"AUTOMATIC"
"1663329018674";"00:01:14.077";"9387368";"2514.0";"44";"48";"84";"AUTOMATIC"
"1663329019676";"00:01:15.079";"12188136";"2517.0";"44";"27";"84";"AUTOMATIC"
"1663329020204";"00:01:15.607";"12195216";"2518.0";"44";"23";"84";"CHECKPOINT"
