"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328484277";"00:00:00.005";"17621856";"2439.0";"43";"69";"85";"AUTOMATIC"
"1663328485277";"00:00:01.005";"24923864";"2446.0";"43";"48";"85";"AUTOMATIC"
"1663328486277";"00:00:02.005";"10811736";"2431.0";"43";"48";"85";"AUTOMATIC"
"1663328487280";"00:00:03.008";"11159672";"2432.0";"43";"48";"85";"AUTOMATIC"
"1663328488280";"00:00:04.008";"11591944";"2432.0";"43";"48";"85";"AUTOMATIC"
"1663328489281";"00:00:05.009";"7826008";"2429.0";"43";"48";"85";"AUTOMATIC"
"1663328490281";"00:00:06.009";"9111784";"2430.0";"43";"48";"85";"AUTOMATIC"
"1663328491282";"00:00:07.010";"9002880";"2430.0";"43";"48";"85";"AUTOMATIC"
"1663328492283";"00:00:08.011";"11674576";"2433.0";"43";"48";"85";"AUTOMATIC"
"1663328493284";"00:00:09.012";"7538768";"2429.0";"43";"48";"85";"AUTOMATIC"
"1663328494285";"00:00:10.013";"9893280";"2431.0";"43";"48";"85";"AUTOMATIC"
"1663328495286";"00:00:11.014";"11613400";"2433.0";"43";"48";"85";"AUTOMATIC"
"1663328496287";"00:00:12.015";"8059576";"2430.0";"43";"48";"85";"AUTOMATIC"
"1663328497288";"00:00:13.016";"9035200";"2430.0";"43";"46";"85";"AUTOMATIC"
"1663328498289";"00:00:14.017";"10789640";"2432.0";"43";"38";"85";"AUTOMATIC"
"1663328499290";"00:00:15.018";"6793328";"2429.0";"43";"38";"85";"AUTOMATIC"
"1663328500292";"00:00:16.020";"8518984";"2431.0";"43";"34";"85";"AUTOMATIC"
"1663328501294";"00:00:17.022";"10263464";"2433.0";"43";"27";"85";"AUTOMATIC"
"1663328502294";"00:00:18.022";"11561888";"2434.0";"43";"48";"85";"AUTOMATIC"
"1663328503294";"00:00:19.022";"6255104";"2429.0";"43";"50";"85";"AUTOMATIC"
"1663328504295";"00:00:20.023";"8507616";"2431.0";"43";"48";"85";"AUTOMATIC"
"1663328505296";"00:00:21.024";"10702808";"2433.0";"43";"48";"85";"AUTOMATIC"
"1663328506296";"00:00:22.024";"9736760";"2432.0";"43";"48";"85";"AUTOMATIC"
"1663328507297";"00:00:23.025";"11128512";"2434.0";"43";"48";"85";"AUTOMATIC"
"1663328508302";"00:00:24.030";"10861328";"2434.0";"43";"28";"85";"AUTOMATIC"
"1663328509301";"00:00:25.029";"6428352";"2430.0";"43";"17";"85";"AUTOMATIC"
"1663328510301";"00:00:26.029";"6280000";"2430.0";"43";"84";"85";"AUTOMATIC"
"1663328511302";"00:00:27.030";"7165296";"2431.0";"43";"48";"85";"AUTOMATIC"
"1663328512305";"00:00:28.033";"9203264";"2433.0";"43";"48";"85";"AUTOMATIC"
"1663328513303";"00:00:29.031";"9098688";"2432.0";"43";"48";"85";"AUTOMATIC"
"1663328514305";"00:00:30.033";"8849032";"2432.0";"43";"27";"85";"AUTOMATIC"
"1663328515308";"00:00:31.036";"10481192";"2434.0";"43";"17";"85";"AUTOMATIC"
"1663328516307";"00:00:32.035";"11809696";"2436.0";"43";"71";"85";"AUTOMATIC"
"1663328517308";"00:00:33.036";"6536216";"2427.0";"43";"48";"85";"AUTOMATIC"
"1663328518309";"00:00:34.037";"9049576";"2430.0";"43";"48";"85";"AUTOMATIC"
"1663328518952";"00:00:34.680";"9073120";"2430.0";"43";"17";"85";"CHECKPOINT"
