"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328793804";"00:00:00.009";"18871696";"2472.0";"43";"70";"84";"AUTOMATIC"
"1663328794806";"00:00:01.011";"23063528";"2476.0";"43";"46";"84";"AUTOMATIC"
"1663328795807";"00:00:02.012";"29038168";"2482.0";"43";"31";"84";"AUTOMATIC"
"1663328796807";"00:00:03.012";"5958608";"2460.0";"43";"48";"84";"AUTOMATIC"
"1663328797814";"00:00:04.019";"7442456";"2462.0";"43";"33";"84";"AUTOMATIC"
"1663328798811";"00:00:05.016";"8245064";"2462.0";"43";"50";"84";"AUTOMATIC"
"1663328799813";"00:00:06.018";"9578960";"2464.0";"43";"36";"84";"AUTOMATIC"
"1663328800817";"00:00:07.022";"10509664";"2465.0";"43";"50";"84";"AUTOMATIC"
"1663328801820";"00:00:08.025";"6244864";"2461.0";"43";"17";"84";"AUTOMATIC"
"1663328802821";"00:00:09.026";"10816376";"2465.0";"43";"36";"84";"AUTOMATIC"
"1663328803823";"00:00:10.028";"6404640";"2461.0";"43";"17";"84";"AUTOMATIC"
"1663328804823";"00:00:11.028";"6559144";"2461.0";"43";"48";"84";"AUTOMATIC"
"1663328805828";"00:00:12.033";"7820840";"2463.0";"43";"17";"84";"AUTOMATIC"
"1663328806034";"00:00:12.239";"7827920";"2463.0";"43";"17";"84";"CHECKPOINT"
