"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328833126";"00:00:00.007";"7617104";"2465.0";"43";"69";"84";"AUTOMATIC"
"1663328834126";"00:00:01.007";"7402856";"2465.0";"43";"48";"84";"AUTOMATIC"
"1663328835126";"00:00:02.007";"12298312";"2470.0";"43";"48";"84";"AUTOMATIC"
"1663328836127";"00:00:03.008";"10392200";"2468.0";"43";"48";"84";"AUTOMATIC"
"1663328837127";"00:00:04.008";"6449848";"2465.0";"43";"48";"84";"AUTOMATIC"
"1663328838129";"00:00:05.010";"7995928";"2466.0";"43";"38";"84";"AUTOMATIC"
"1663328839130";"00:00:06.011";"9999984";"2468.0";"43";"38";"84";"AUTOMATIC"
"1663328840133";"00:00:07.014";"6331680";"2465.0";"43";"27";"84";"AUTOMATIC"
"1663328841133";"00:00:08.014";"6937008";"2466.0";"43";"48";"84";"AUTOMATIC"
"1663328842134";"00:00:09.015";"9417864";"2468.0";"43";"48";"84";"AUTOMATIC"
"1663328843135";"00:00:10.016";"6790744";"2465.0";"43";"48";"84";"AUTOMATIC"
"1663328844135";"00:00:11.016";"9228896";"2468.0";"43";"48";"84";"AUTOMATIC"
"1663328845136";"00:00:12.017";"11195568";"2470.0";"43";"48";"84";"AUTOMATIC"
"1663328846138";"00:00:13.019";"7536760";"2466.0";"43";"42";"84";"AUTOMATIC"
"1663328847140";"00:00:14.021";"9158384";"2468.0";"43";"17";"84";"AUTOMATIC"
"1663328848140";"00:00:15.021";"11498200";"2471.0";"43";"48";"84";"AUTOMATIC"
"1663328849141";"00:00:16.022";"5989312";"2466.0";"43";"48";"84";"AUTOMATIC"
"1663328850142";"00:00:17.023";"10618752";"2469.0";"43";"48";"84";"AUTOMATIC"
"1663328851142";"00:00:18.023";"7105864";"2466.0";"43";"48";"84";"AUTOMATIC"
"1663328852143";"00:00:19.024";"9562896";"2468.0";"43";"48";"84";"AUTOMATIC"
"1663328853144";"00:00:20.025";"11300776";"2469.0";"43";"48";"84";"AUTOMATIC"
"1663328854146";"00:00:21.027";"6496040";"2465.0";"43";"17";"84";"AUTOMATIC"
"1663328855147";"00:00:22.028";"7613304";"2467.0";"43";"48";"84";"AUTOMATIC"
"1663328856147";"00:00:23.028";"9357216";"2466.0";"43";"100";"84";"AUTOMATIC"
"1663328857148";"00:00:24.029";"9468824";"2466.0";"43";"48";"84";"AUTOMATIC"
"1663328858149";"00:00:25.030";"9159576";"2466.0";"43";"48";"84";"AUTOMATIC"
"1663328859150";"00:00:26.031";"11361040";"2468.0";"43";"48";"84";"AUTOMATIC"
"1663328860152";"00:00:27.033";"6666176";"2465.0";"43";"17";"84";"AUTOMATIC"
"1663328861153";"00:00:28.034";"8494896";"2466.0";"43";"48";"84";"AUTOMATIC"
"1663328862154";"00:00:29.035";"11142720";"2469.0";"43";"56";"84";"AUTOMATIC"
"1663328863155";"00:00:30.036";"6439496";"2465.0";"43";"48";"84";"AUTOMATIC"
"1663328864156";"00:00:31.037";"9085624";"2467.0";"43";"48";"84";"AUTOMATIC"
"1663328865156";"00:00:32.037";"11245064";"2469.0";"43";"48";"84";"AUTOMATIC"
"1663328866157";"00:00:33.038";"7723688";"2466.0";"43";"48";"84";"AUTOMATIC"
"1663328867158";"00:00:34.039";"6227112";"2465.0";"43";"48";"84";"AUTOMATIC"
"1663328868160";"00:00:35.041";"6602232";"2465.0";"43";"17";"84";"AUTOMATIC"
"1663328869162";"00:00:36.043";"6625744";"2465.0";"43";"17";"84";"AUTOMATIC"
"1663328869168";"00:00:36.049";"6643024";"2465.0";"43";"39";"84";"CHECKPOINT"
