"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328215916";"00:00:00.012";"22713544";"2426.0";"42";"70";"85";"AUTOMATIC"
"1663328216916";"00:00:01.012";"6697408";"2411.0";"42";"31";"85";"AUTOMATIC"
"1663328217917";"00:00:02.013";"7538664";"2411.0";"42";"48";"85";"AUTOMATIC"
"1663328218917";"00:00:03.013";"8313864";"2412.0";"42";"48";"85";"AUTOMATIC"
"1663328219918";"00:00:04.014";"10217608";"2414.0";"42";"48";"85";"AUTOMATIC"
"1663328220919";"00:00:05.015";"11119008";"2414.0";"42";"48";"85";"AUTOMATIC"
"1663328221920";"00:00:06.016";"7645976";"2411.0";"42";"48";"85";"AUTOMATIC"
"1663328222922";"00:00:07.018";"8563232";"2412.0";"42";"38";"85";"AUTOMATIC"
"1663328223923";"00:00:08.019";"11135984";"2414.0";"42";"38";"85";"AUTOMATIC"
"1663328224923";"00:00:09.019";"8249776";"2412.0";"42";"46";"85";"AUTOMATIC"
"1663328225928";"00:00:10.024";"10058832";"2413.0";"42";"17";"85";"AUTOMATIC"
"1663328226928";"00:00:11.024";"6715760";"2411.0";"42";"48";"85";"AUTOMATIC"
"1663328227930";"00:00:12.026";"9040904";"2413.0";"42";"48";"85";"AUTOMATIC"
"1663328228930";"00:00:13.026";"10249928";"2414.0";"42";"48";"85";"AUTOMATIC"
"1663328229931";"00:00:14.027";"7278776";"2411.0";"42";"48";"85";"AUTOMATIC"
"1663328230932";"00:00:15.028";"8226416";"2412.0";"42";"48";"85";"AUTOMATIC"
"1663328231933";"00:00:16.029";"7890208";"2412.0";"42";"48";"85";"AUTOMATIC"
"1663328232934";"00:00:17.030";"9845608";"2413.0";"42";"48";"85";"AUTOMATIC"
"1663328233937";"00:00:18.033";"11192032";"2416.0";"42";"17";"85";"AUTOMATIC"
"1663328234937";"00:00:19.033";"7075568";"2412.0";"42";"48";"85";"AUTOMATIC"
"1663328235938";"00:00:20.034";"10867456";"2415.0";"42";"48";"85";"AUTOMATIC"
"1663328236939";"00:00:21.035";"8013528";"2413.0";"42";"48";"85";"AUTOMATIC"
"1663328237940";"00:00:22.036";"10726584";"2415.0";"42";"48";"85";"AUTOMATIC"
"1663328238940";"00:00:23.036";"11056272";"2416.0";"42";"48";"85";"AUTOMATIC"
"1663328239941";"00:00:24.037";"7695704";"2413.0";"42";"46";"85";"AUTOMATIC"
"1663328240943";"00:00:25.039";"9494912";"2415.0";"42";"17";"85";"AUTOMATIC"
"1663328241945";"00:00:26.041";"6434536";"2412.0";"42";"42";"85";"AUTOMATIC"
"1663328242945";"00:00:27.041";"6818184";"2413.0";"42";"48";"85";"AUTOMATIC"
"1663328243946";"00:00:28.042";"8390824";"2414.0";"42";"48";"85";"AUTOMATIC"
"1663328244947";"00:00:29.043";"9281752";"2415.0";"42";"48";"85";"AUTOMATIC"
"1663328245948";"00:00:30.044";"6094456";"2412.0";"42";"48";"85";"AUTOMATIC"
"1663328246949";"00:00:31.045";"7118536";"2413.0";"42";"48";"85";"AUTOMATIC"
"1663328247953";"00:00:32.049";"8001312";"2414.0";"42";"17";"85";"AUTOMATIC"
"1663328248953";"00:00:33.049";"9986936";"2416.0";"42";"48";"85";"AUTOMATIC"
"1663328249954";"00:00:34.050";"11362768";"2417.0";"42";"69";"85";"AUTOMATIC"
"1663328250959";"00:00:35.055";"7803616";"2414.0";"42";"17";"85";"AUTOMATIC"
"1663328251688";"00:00:35.784";"7827080";"2414.0";"42";"17";"85";"CHECKPOINT"
