"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328372745";"00:00:00.009";"24078400";"2446.0";"43";"69";"85";"AUTOMATIC"
"1663328373747";"00:00:01.011";"28014952";"2450.0";"43";"39";"85";"AUTOMATIC"
"1663328374747";"00:00:02.011";"14906352";"2438.0";"43";"48";"85";"AUTOMATIC"
"1663328375749";"00:00:03.013";"21583712";"2444.0";"43";"33";"85";"AUTOMATIC"
"1663328376749";"00:00:04.013";"28575472";"2451.0";"43";"48";"85";"AUTOMATIC"
"1663328377750";"00:00:05.014";"15836272";"2439.0";"43";"48";"85";"AUTOMATIC"
"1663328378751";"00:00:06.015";"23639632";"2446.0";"43";"48";"85";"AUTOMATIC"
"1663328379752";"00:00:07.016";"30878752";"2454.0";"43";"38";"85";"AUTOMATIC"
"1663328380753";"00:00:08.017";"20054080";"2444.0";"43";"38";"85";"AUTOMATIC"
"1663328381756";"00:00:09.020";"28007240";"2451.0";"43";"48";"85";"AUTOMATIC"
"1663328382754";"00:00:10.018";"14606904";"2439.0";"43";"48";"85";"AUTOMATIC"
"1663328383755";"00:00:11.019";"21448920";"2445.0";"43";"69";"85";"AUTOMATIC"
"1663328384756";"00:00:12.020";"29129096";"2453.0";"43";"48";"85";"AUTOMATIC"
"1663328385757";"00:00:13.021";"16216024";"2441.0";"43";"48";"85";"AUTOMATIC"
"1663328386759";"00:00:14.023";"22819784";"2447.0";"43";"17";"85";"AUTOMATIC"
"1663328387762";"00:00:15.026";"26910400";"2451.0";"43";"17";"85";"AUTOMATIC"
"1663328388762";"00:00:16.026";"14066504";"2439.0";"43";"48";"85";"AUTOMATIC"
"1663328389763";"00:00:17.027";"21652888";"2447.0";"43";"48";"85";"AUTOMATIC"
"1663328390764";"00:00:18.028";"29569368";"2454.0";"43";"48";"85";"AUTOMATIC"
"1663328391765";"00:00:19.029";"14285512";"2440.0";"43";"27";"85";"AUTOMATIC"
"1663328392282";"00:00:19.546";"14302872";"2440.0";"43";"17";"85";"CHECKPOINT"
