"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328541720";"00:00:00.005";"28259280";"2454.0";"43";"69";"85";"AUTOMATIC"
"1663328542724";"00:00:01.009";"28299288";"2454.0";"43";"17";"85";"AUTOMATIC"
"1663328543723";"00:00:02.008";"18977408";"2446.0";"43";"48";"84";"AUTOMATIC"
"1663328544724";"00:00:03.009";"27831488";"2455.0";"43";"48";"84";"AUTOMATIC"
"1663328545724";"00:00:04.009";"11009720";"2438.0";"43";"48";"84";"AUTOMATIC"
"1663328546726";"00:00:05.011";"6756376";"2437.0";"43";"48";"84";"AUTOMATIC"
"1663328547726";"00:00:06.011";"9510920";"2440.0";"43";"48";"84";"AUTOMATIC"
"1663328548727";"00:00:07.012";"10736520";"2441.0";"43";"48";"84";"AUTOMATIC"
"1663328549728";"00:00:08.013";"7183384";"2438.0";"43";"48";"84";"AUTOMATIC"
"1663328550729";"00:00:09.014";"12482568";"2443.0";"43";"48";"84";"AUTOMATIC"
"1663328551730";"00:00:10.015";"8659088";"2441.0";"43";"48";"84";"AUTOMATIC"
"1663328552731";"00:00:11.016";"11497024";"2444.0";"43";"48";"84";"AUTOMATIC"
"1663328553732";"00:00:12.017";"11442640";"2444.0";"43";"48";"84";"AUTOMATIC"
"1663328554732";"00:00:13.017";"7918336";"2441.0";"43";"48";"84";"AUTOMATIC"
"1663328555733";"00:00:14.018";"10005128";"2443.0";"43";"100";"84";"AUTOMATIC"
"1663328556734";"00:00:15.019";"12448984";"2445.0";"43";"48";"84";"AUTOMATIC"
"1663328557739";"00:00:16.024";"7411312";"2441.0";"43";"17";"84";"AUTOMATIC"
"1663328558739";"00:00:17.024";"6718528";"2441.0";"43";"48";"84";"AUTOMATIC"
"1663328559740";"00:00:18.025";"9401672";"2443.0";"43";"48";"84";"AUTOMATIC"
"1663328560741";"00:00:19.026";"11702712";"2444.0";"43";"48";"84";"AUTOMATIC"
"1663328561742";"00:00:20.027";"7725832";"2441.0";"43";"48";"84";"AUTOMATIC"
"1663328562745";"00:00:21.030";"9353208";"2443.0";"43";"17";"84";"AUTOMATIC"
"1663328563744";"00:00:22.029";"10991088";"2445.0";"43";"48";"84";"AUTOMATIC"
"1663328564745";"00:00:23.030";"7331280";"2441.0";"43";"48";"84";"AUTOMATIC"
"1663328565746";"00:00:24.031";"7815640";"2442.0";"43";"48";"84";"AUTOMATIC"
"1663328566747";"00:00:25.032";"10388264";"2445.0";"43";"48";"84";"AUTOMATIC"
"1663328567752";"00:00:26.037";"11908328";"2445.0";"43";"74";"84";"AUTOMATIC"
"1663328568750";"00:00:27.035";"6585728";"2440.0";"43";"48";"84";"AUTOMATIC"
"1663328569751";"00:00:28.036";"9374048";"2442.0";"43";"48";"84";"AUTOMATIC"
"1663328570751";"00:00:29.036";"9440024";"2442.0";"43";"48";"84";"AUTOMATIC"
"1663328571752";"00:00:30.037";"12153144";"2445.0";"43";"48";"84";"AUTOMATIC"
"1663328572755";"00:00:31.040";"7745096";"2441.0";"43";"27";"84";"AUTOMATIC"
