"Timestamp";"Elapsed Time";"Used Memory from Application (bytes)";"Used System`s RAM (MB)";"Used System`s RAM (%)";"Used System`s CPU (%)";"Battery Level";"Profiling Type"
"1663328728037";"00:00:00.003";"6085576";"2430.0";"43";"74";"84";"AUTOMATIC"
"1663328729037";"00:00:01.003";"5922712";"2431.0";"43";"48";"84";"AUTOMATIC"
"1663328730041";"00:00:02.007";"6703248";"2432.0";"43";"50";"84";"AUTOMATIC"
"1663328731041";"00:00:03.007";"8816312";"2433.0";"43";"48";"84";"AUTOMATIC"
"1663328732042";"00:00:04.008";"10000184";"2435.0";"43";"48";"84";"AUTOMATIC"
"1663328733043";"00:00:05.009";"10582512";"2436.0";"43";"48";"84";"AUTOMATIC"
"1663328734045";"00:00:06.011";"9611944";"2435.0";"43";"50";"84";"AUTOMATIC"
"1663328735045";"00:00:07.011";"10937728";"2436.0";"43";"48";"84";"AUTOMATIC"
"1663328736046";"00:00:08.012";"6142592";"2432.0";"43";"42";"84";"AUTOMATIC"
"1663328737048";"00:00:09.014";"8449184";"2434.0";"43";"17";"84";"AUTOMATIC"
"1663328738048";"00:00:10.014";"10258696";"2437.0";"43";"48";"84";"AUTOMATIC"
"1663328739049";"00:00:11.015";"10747248";"2437.0";"43";"46";"84";"AUTOMATIC"
"1663328740050";"00:00:12.016";"10461808";"2436.0";"43";"48";"84";"AUTOMATIC"
"1663328741051";"00:00:13.017";"6005784";"2433.0";"43";"48";"84";"AUTOMATIC"
"1663328742052";"00:00:14.018";"6534608";"2435.0";"43";"48";"84";"AUTOMATIC"
"1663328743053";"00:00:15.019";"10434928";"2439.0";"43";"48";"84";"AUTOMATIC"
"1663328744054";"00:00:16.020";"6648272";"2436.0";"43";"36";"84";"AUTOMATIC"
"1663328745055";"00:00:17.021";"8316456";"2438.0";"43";"48";"84";"AUTOMATIC"
"1663328746056";"00:00:18.022";"9628016";"2439.0";"43";"48";"84";"AUTOMATIC"
"1663328747057";"00:00:19.023";"5656616";"2436.0";"43";"36";"84";"AUTOMATIC"
"1663328748058";"00:00:20.024";"9711272";"2440.0";"43";"74";"84";"AUTOMATIC"
"1663328748563";"00:00:20.529";"9718400";"2441.0";"43";"17";"84";"CHECKPOINT"
